Date,CHC
9/18/2020 16:00:00,12.36
9/21/2020 16:00:00,12.28
9/22/2020 16:00:00,12.14
9/23/2020 16:00:00,12.48
9/24/2020 16:00:00,12.28
9/25/2020 16:00:00,12.37
9/28/2020 16:00:00,12.57
9/29/2020 16:00:00,12.52
9/30/2020 16:00:00,12.43
10/01/2020 16:00,12.72
10/02/2020 16:00,12.88
10/05/2020 16:00,13.15
10/06/2020 16:00,13.24
10/07/2020 16:00,13.55
10/08/2020 16:00,13.53
10/09/2020 16:00,13.43
10/12/2020 16:00,13.36
10/13/2020 16:00:00,13.35
10/14/2020 16:00:00,13.42
10/15/2020 16:00:00,13.48
10/16/2020 16:00:00,13.25
10/19/2020 16:00:00,13.09
10/20/2020 16:00:00,13.15
10/21/2020 16:00:00,13.02
10/22/2020 16:00:00,12.97
10/23/2020 16:00:00,12.95
10/26/2020 16:00:00,12.88
10/27/2020 16:00:00,12.51
10/28/2020 16:00:00,12.54
10/29/2020 16:00:00,12.31
10/30/2020 16:00:00,12.34
11/02/2020 16:00,12.27
11/03/2020 16:00,12.54
11/04/2020 16:00,12.93
11/05/2020 16:00,13.37
11/06/2020 16:00,13.41
11/09/2020 16:00,13.78
11/10/2020 16:00,13.14
11/11/2020 16:00,13.85
11/12/2020 16:00,13.98
11/13/2020 16:00:00,14.14
11/16/2020 16:00:00,14.45
11/17/2020 16:00:00,13.59
11/18/2020 16:00:00,13.35
11/19/2020 16:00:00,13.36
11/20/2020 16:00:00,13.16
11/23/2020 16:00:00,13.06
11/24/2020 16:00:00,13.05
11/25/2020 16:00:00,13.1
11/26/2020 16:00:00,13.12
11/27/2020 16:00:00,13.32
11/30/2020 16:00:00,13.73
12/01/2020 16:00,14.19
12/02/2020 16:00,14.05
12/03/2020 16:00,14.23
12/04/2020 16:00,14.53
12/07/2020 16:00,14.5
12/08/2020 16:00,14.26
12/09/2020 16:00,14.2
12/10/2020 16:00,14.23
12/11/2020 16:00,14.32
12/14/2020 16:00:00,14.58
12/15/2020 16:00:00,14.73
12/16/2020 16:00:00,14.81
12/17/2020 16:00:00,14.89
12/18/2020 16:00:00,14.46
12/21/2020 16:00:00,14.28
12/22/2020 16:00:00,14.21
12/23/2020 16:00:00,14.73
12/24/2020 16:00:00,15
12/29/2020 16:00:00,15.18
12/30/2020 16:00:00,15.14
12/31/2020 16:00:00,14.71
1/04/2021 16:00,15.11
1/05/2021 16:00,15.05
1/06/2021 16:00,14.74
1/07/2021 16:00,14
1/08/2021 16:00,13.94
1/11/2021 16:00,13.84
1/12/2021 16:00,13.72
1/13/2021 16:00:00,13.66
1/14/2021 16:00:00,13.66
1/15/2021 16:00:00,13.43
1/18/2021 16:00:00,13.15
1/19/2021 16:00:00,13.34
1/20/2021 16:00:00,13.69
1/21/2021 16:00:00,14.13
1/22/2021 16:00:00,13.99
1/25/2021 16:00:00,14.08
1/27/2021 16:00:00,13.82
1/28/2021 16:00:00,13.59
1/29/2021 16:00:00,13.62
