Date,APA
5/15/2020 16:00:00,11.4
5/18/2020 16:00:00,11.24
5/19/2020 16:00:00,11.56
5/20/2020 16:00:00,11.54
5/21/2020 16:00:00,11.23
5/22/2020 16:00:00,11.22
5/25/2020 16:00:00,11.55
5/26/2020 16:00:00,11.64
5/27/2020 16:00:00,11.21
5/28/2020 16:00:00,11.57
5/29/2020 16:00:00,11.61
6/01/2020 16:00,11.52
6/02/2020 16:00,11.45
6/03/2020 16:00,11.41
6/04/2020 16:00,11.59
6/05/2020 16:00,11.45
6/09/2020 16:00,11.45
6/10/2020 16:00,11.55
6/11/2020 16:00,11.32
6/12/2020 16:00,11.22
6/15/2020 16:00:00,11.19
6/16/2020 16:00:00,11.44
6/17/2020 16:00:00,11.48
6/18/2020 16:00:00,11.45
6/19/2020 16:00:00,11.54
6/22/2020 16:00:00,11.37
6/23/2020 16:00:00,11.29
6/24/2020 16:00:00,11.74
6/25/2020 16:00:00,11.33
6/26/2020 16:00:00,11.46
6/29/2020 16:00:00,11.1
6/30/2020 16:00:00,11.13
7/01/2020 16:00,11.1
7/02/2020 16:00,11.25
7/03/2020 16:00,11.34
7/06/2020 16:00,11.26
7/07/2020 16:00,11.17
7/08/2020 16:00,10.94
7/09/2020 16:00,10.96
7/10/2020 16:00,10.85
7/13/2020 16:00:00,11.14
7/14/2020 16:00:00,10.96
7/15/2020 16:00:00,11.27
7/16/2020 16:00:00,11.1
7/17/2020 16:00:00,11.17
7/20/2020 16:00:00,11.09
7/21/2020 16:00:00,11.42
7/22/2020 16:00:00,11.09
7/23/2020 16:00:00,11.05
7/24/2020 16:00:00,11.11
7/27/2020 16:00:00,11.17
7/28/2020 16:00:00,11.17
7/29/2020 16:00:00,11.14
7/30/2020 16:00:00,11.12
7/31/2020 16:00:00,11
8/03/2020 16:00,11.19
8/04/2020 16:00,11.23
8/05/2020 16:00,11.17
8/06/2020 16:00,11.16
8/07/2020 16:00,11.11
8/10/2020 16:00,11.44
8/11/2020 16:00,11.49
8/12/2020 16:00,11.45
8/13/2020 16:00:00,11.33
8/14/2020 16:00:00,11.29
8/17/2020 16:00:00,11.33
8/18/2020 16:00:00,11.47
8/19/2020 16:00:00,11.4
8/20/2020 16:00:00,11.37
8/21/2020 16:00:00,11.14
8/24/2020 16:00:00,11.02
8/25/2020 16:00:00,10.86
8/26/2020 16:00:00,10.57
8/27/2020 16:00:00,10.42
8/28/2020 16:00:00,10.28
8/31/2020 16:00:00,10.43
9/01/2020 16:00,10.35
9/02/2020 16:00,10.63
9/03/2020 16:00,10.65
9/04/2020 16:00,10.48
9/07/2020 16:00,10.38
9/08/2020 16:00,10.4
9/09/2020 16:00,10.21
9/10/2020 16:00,10.27
9/11/2020 16:00,10.23
9/14/2020 16:00:00,10.28
9/15/2020 16:00:00,10.31
9/16/2020 16:00:00,10.44
9/17/2020 16:00:00,10.39
9/18/2020 16:00:00,10.3
9/21/2020 16:00:00,10.27
9/22/2020 16:00:00,10.35
9/23/2020 16:00:00,10.73
9/24/2020 16:00:00,10.71
9/25/2020 16:00:00,10.92
9/28/2020 16:00:00,10.85
9/29/2020 16:00:00,10.74
9/30/2020 16:00:00,10.33
10/01/2020 16:00,10.4
10/02/2020 16:00,10.32
10/05/2020 16:00,10.62
10/06/2020 16:00,10.57
10/07/2020 16:00,10.72
10/08/2020 16:00,10.81
10/09/2020 16:00,10.67
10/12/2020 16:00,10.6
10/13/2020 16:00:00,10.9
10/14/2020 16:00:00,10.9
10/15/2020 16:00:00,10.99
10/16/2020 16:00:00,10.93
