Date,AAPL
8/19/2019 16:00:00,52.59
8/20/2019 16:00:00,52.59
8/21/2019 16:00:00,53.16
8/22/2019 16:00:00,53.12
8/23/2019 16:00:00,50.66
8/26/2019 16:00:00,51.62
8/27/2019 16:00:00,51.04
8/28/2019 16:00:00,51.38
8/29/2019 16:00:00,52.25
8/30/2019 16:00:00,52.19
9/03/2019 16:00,51.43
9/04/2019 16:00,52.3
9/05/2019 16:00,53.32
9/06/2019 16:00,53.32
9/09/2019 16:00,53.54
9/10/2019 16:00,54.18
9/11/2019 16:00,55.9
9/12/2019 16:00,55.77
9/13/2019 16:00:00,54.69
9/16/2019 16:00:00,54.98
9/17/2019 16:00:00,55.18
9/18/2019 16:00:00,55.69
9/19/2019 16:00:00,55.24
9/20/2019 16:00:00,54.43
9/23/2019 16:00:00,54.68
9/24/2019 16:00:00,54.42
9/25/2019 16:00:00,55.26
9/26/2019 16:00:00,54.97
9/27/2019 16:00:00,54.71
9/30/2019 16:00:00,55.99
10/01/2019 16:00,56.15
10/02/2019 16:00,54.74
10/03/2019 16:00,55.21
10/04/2019 16:00,56.75
10/07/2019 16:00,56.77
10/08/2019 16:00,56.1
10/09/2019 16:00,56.76
10/10/2019 16:00,57.52
10/11/2019 16:00,59.05
10/14/2019 16:00:00,58.97
10/15/2019 16:00:00,58.83
10/16/2019 16:00:00,58.59
10/17/2019 16:00:00,58.82
10/18/2019 16:00:00,59.1
10/21/2019 16:00:00,60.13
10/22/2019 16:00:00,59.99
10/23/2019 16:00:00,60.8
10/24/2019 16:00:00,60.9
10/25/2019 16:00:00,61.65
10/28/2019 16:00:00,62.26
10/29/2019 16:00:00,60.82
10/30/2019 16:00:00,60.82
10/31/2019 16:00:00,62.19
11/01/2019 16:00,63.96
11/04/2019 16:00,64.38
11/05/2019 16:00,64.28
11/06/2019 16:00,64.31
11/07/2019 16:00,64.86
11/08/2019 16:00,65.04
11/11/2019 16:00,65.55
11/12/2019 16:00,65.49
11/13/2019 16:00:00,66.12
11/14/2019 16:00:00,65.66
11/15/2019 16:00:00,66.44
11/18/2019 16:00:00,66.78
11/19/2019 16:00:00,66.57
11/20/2019 16:00:00,65.8
11/21/2019 16:00:00,65.5
11/22/2019 16:00:00,65.44
11/25/2019 16:00:00,66.59
11/26/2019 16:00:00,66.07
11/27/2019 16:00:00,66.96
11/29/2019 13:00:00,66.81
12/02/2019 16:00,66.04
12/03/2019 16:00,64.86
12/04/2019 16:00,65.44
12/05/2019 16:00,66.4
12/06/2019 16:00,67.68
12/09/2019 16:00,66.73
12/10/2019 16:00,67.12
12/11/2019 16:00,67.69
12/12/2019 16:00,67.86
12/13/2019 16:00:00,68.79
12/16/2019 16:00:00,69.97
12/17/2019 16:00:00,70.1
12/18/2019 16:00:00,69.94
12/19/2019 16:00:00,70.01
12/20/2019 16:00:00,69.86
12/23/2019 16:00:00,71
12/24/2019 13:00:00,71.07
12/26/2019 16:00:00,72.48
12/27/2019 16:00:00,72.45
12/30/2019 16:00:00,72.88
12/31/2019 16:00:00,73.41
1/02/2020 16:00,75.09
1/03/2020 16:00,74.36
1/06/2020 16:00,74.95
1/07/2020 16:00,74.6
1/08/2020 16:00,75.8
1/09/2020 16:00,77.41
1/10/2020 16:00,77.58
1/13/2020 16:00:00,79.24
1/14/2020 16:00:00,78.17
1/15/2020 16:00:00,77.83
1/16/2020 16:00:00,78.81
1/17/2020 16:00:00,79.68
1/21/2020 16:00:00,79.14
1/22/2020 16:00:00,79.43
1/23/2020 16:00:00,79.81
1/24/2020 16:00:00,79.58
1/27/2020 16:00:00,77.24
1/28/2020 16:00:00,79.42
1/29/2020 16:00:00,81.08
1/30/2020 16:00:00,80.97
1/31/2020 16:00:00,77.38
2/03/2020 16:00,77.17
2/04/2020 16:00,79.71
2/05/2020 16:00,80.36
2/06/2020 16:00,81.3
2/07/2020 16:00,80.01
2/10/2020 16:00,80.39
2/11/2020 16:00,79.9
2/12/2020 16:00,81.8
2/13/2020 16:00:00,81.22
2/14/2020 16:00:00,81.24
2/18/2020 16:00:00,79.75
2/19/2020 16:00:00,80.91
2/20/2020 16:00:00,80.08
2/21/2020 16:00:00,78.26
2/24/2020 16:00:00,74.55
2/25/2020 16:00:00,72.02
2/26/2020 16:00:00,73.16
2/27/2020 16:00:00,68.38
2/28/2020 16:00:00,68.34
3/02/2020 16:00,74.7
3/03/2020 16:00,72.33
3/04/2020 16:00,75.69
3/05/2020 16:00,73.23
3/06/2020 16:00,72.26
3/09/2020 16:00,66.54
3/10/2020 16:00,71.33
3/11/2020 16:00,68.86
3/12/2020 16:00,62.06
3/13/2020 16:00:00,69.49
3/16/2020 16:00:00,60.55
3/17/2020 16:00:00,63.22
3/18/2020 16:00:00,61.67
3/19/2020 16:00:00,61.2
3/20/2020 16:00:00,57.31
3/23/2020 16:00:00,56.09
3/24/2020 16:00:00,61.72
3/25/2020 16:00:00,61.38
3/26/2020 16:00:00,64.61
3/27/2020 16:00:00,61.94
3/30/2020 16:00:00,63.7
3/31/2020 16:00:00,63.57
4/01/2020 16:00,60.23
4/02/2020 16:00,61.23
4/03/2020 16:00,60.35
4/06/2020 16:00,65.62
4/07/2020 16:00,64.86
4/08/2020 16:00,66.52
4/09/2020 16:00,67
4/13/2020 16:00:00,68.31
