Date,ACDC
3/25/2020 16:00:00,45.9
3/26/2020 16:00:00,47.52
3/27/2020 16:00:00,47.3
3/30/2020 16:00:00,46.38
3/31/2020 16:00:00,46.25
4/01/2020 16:00,46.79
4/02/2020 16:00,45.06
4/03/2020 16:00,45.62
4/06/2020 16:00,46
4/07/2020 16:00,46.87
4/08/2020 16:00,47.28
4/14/2020 16:00:00,47.1
4/15/2020 16:00:00,47.73
4/16/2020 16:00:00,47
4/17/2020 16:00:00,48.03
4/20/2020 16:00:00,48.11
4/21/2020 16:00:00,47.2
4/22/2020 16:00:00,46.38
4/23/2020 16:00:00,47.29
4/24/2020 16:00:00,46.7
4/27/2020 16:00:00,47.25
4/29/2020 16:00:00,48.8
4/30/2020 16:00:00,50
5/01/2020 16:00,48.24
5/04/2020 16:00,47.15
5/05/2020 16:00,47.74
5/06/2020 16:00,47.93
5/07/2020 16:00,48
5/08/2020 16:00,47.88
5/11/2020 16:00,49.2
5/12/2020 16:00,48.88
5/13/2020 16:00:00,49
5/14/2020 16:00:00,48.26
5/15/2020 16:00:00,48.15
5/18/2020 16:00:00,48.94
5/19/2020 16:00:00,50
5/20/2020 16:00:00,50.07
5/21/2020 16:00:00,50.69
5/22/2020 16:00:00,49.72
5/25/2020 16:00:00,50.39
5/26/2020 16:00:00,51.47
5/27/2020 16:00:00,52.12
5/28/2020 16:00:00,53.04
5/29/2020 16:00:00,52.22
6/01/2020 16:00,51.6
6/02/2020 16:00,52.7
6/03/2020 16:00,52.65
6/04/2020 16:00,53.95
6/05/2020 16:00,55
6/09/2020 16:00,57.77
6/10/2020 16:00,57.05
6/11/2020 16:00,55.68
6/12/2020 16:00,54.18
6/15/2020 16:00:00,53
6/16/2020 16:00:00,54.27
6/17/2020 16:00:00,55.06
6/18/2020 16:00:00,54.32
6/19/2020 16:00:00,54.63
6/22/2020 16:00:00,54.39
6/23/2020 16:00:00,54.16
6/24/2020 16:00:00,54.11
6/25/2020 16:00:00,52.77
6/26/2020 16:00:00,53.36
6/29/2020 16:00:00,52.5
6/30/2020 16:00:00,53
7/01/2020 16:00,52.9
7/02/2020 16:00,52.7
7/03/2020 16:00,53.84
7/06/2020 16:00,55.15
7/07/2020 16:00,56.65
7/08/2020 16:00,55.62
7/09/2020 16:00,55.75
7/10/2020 16:00,55.25
7/13/2020 16:00:00,57.36
7/14/2020 16:00:00,56.61
7/15/2020 16:00:00,57.32
7/16/2020 16:00:00,57.1
7/17/2020 16:00:00,56.97
7/20/2020 16:00:00,57.2
