Date,AMC
5/15/2019 16:00:00,16.4
5/16/2019 16:00:00,16.5
5/17/2019 16:00:00,16.6
5/20/2019 16:00:00,16.47
5/21/2019 16:00:00,16.57
5/22/2019 16:00:00,16.44
5/23/2019 16:00:00,16.38
5/24/2019 16:00:00,16.25
5/27/2019 16:00:00,16.16
5/28/2019 16:00:00,16.21
5/29/2019 16:00:00,16.1
5/30/2019 16:00:00,15.98
5/31/2019 16:00:00,16.48
6/03/2019 16:00,16.12
6/04/2019 16:00,16.18
6/05/2019 16:00,16.13
6/06/2019 16:00,15.77
6/07/2019 16:00,15.72
6/11/2019 16:00,15.89
6/12/2019 16:00,16
6/13/2019 16:00:00,16.06
6/14/2019 16:00:00,15.65
6/17/2019 16:00:00,15.71
6/18/2019 16:00:00,15.6
6/19/2019 16:00:00,15.59
6/20/2019 16:00:00,15.51
6/21/2019 16:00:00,15.54
6/24/2019 16:00:00,15.78
6/25/2019 16:00:00,15.96
6/26/2019 16:00:00,16.34
6/27/2019 16:00:00,16.45
6/28/2019 16:00:00,16.19
7/01/2019 16:00,16.2
7/02/2019 16:00,16.32
7/03/2019 16:00,16.68
7/04/2019 16:00,16.58
7/05/2019 16:00,16.62
7/08/2019 16:00,16.37
7/09/2019 16:00,16.14
7/10/2019 16:00,15.77
7/11/2019 16:00,15.62
7/12/2019 16:00,15.8
7/15/2019 16:00:00,15.71
7/16/2019 16:00:00,15.64
7/17/2019 16:00:00,15.56
7/18/2019 16:00:00,15.8
7/19/2019 16:00:00,15.92
7/22/2019 16:00:00,15.61
7/23/2019 16:00:00,15.4
7/24/2019 16:00:00,15.5
7/25/2019 16:00:00,15.5
7/26/2019 16:00:00,15.71
7/29/2019 16:00:00,15.87
7/30/2019 16:00:00,15.76
7/31/2019 16:00:00,15.53
8/01/2019 16:00,15.61
8/02/2019 16:00,15.63
8/05/2019 16:00,15.57
8/06/2019 16:00,15.25
8/07/2019 16:00,15.26
8/08/2019 16:00,15.47
8/09/2019 16:00,15.54
8/12/2019 16:00,15.43
8/13/2019 16:00:00,15.16
8/14/2019 16:00:00,15.14
8/15/2019 16:00:00,14.54
8/16/2019 16:00:00,14.39
8/19/2019 16:00:00,14.57
8/20/2019 16:00:00,14.81
8/21/2019 16:00:00,14.66
8/22/2019 16:00:00,14.37
8/23/2019 16:00:00,14.37
8/26/2019 16:00:00,14.08
8/27/2019 16:00:00,14.44
8/28/2019 16:00:00,14.62
8/29/2019 16:00:00,14.4
8/30/2019 16:00:00,14.46
9/02/2019 16:00,14.43
9/03/2019 16:00,14.5
9/04/2019 16:00,14.34
9/05/2019 16:00,14.34
9/06/2019 16:00,14.42
9/09/2019 16:00,14.24
9/10/2019 16:00,14.04
9/11/2019 16:00,14.58
9/12/2019 16:00,14.56
9/13/2019 16:00:00,14.79
9/16/2019 16:00:00,14.63
9/17/2019 16:00:00,14.28
9/18/2019 16:00:00,14.45
9/19/2019 16:00:00,14.5
9/20/2019 16:00:00,14.27
9/23/2019 16:00:00,14.26
9/24/2019 16:00:00,14.17
9/25/2019 16:00:00,14.26
9/26/2019 16:00:00,14.26
9/27/2019 16:00:00,14.31
9/30/2019 16:00:00,14.25
10/01/2019 16:00,14.42
10/02/2019 16:00,14.17
10/03/2019 16:00,13.9
10/04/2019 16:00,14.04
10/07/2019 16:00,13.9
10/08/2019 16:00,13.86
10/09/2019 16:00,13.64
10/10/2019 16:00,13.8
10/11/2019 16:00,13.95
10/14/2019 16:00:00,14.13
10/15/2019 16:00:00,14.07
10/16/2019 16:00:00,14.14
10/17/2019 16:00:00,13.97
10/18/2019 16:00:00,14.07
10/21/2019 16:00:00,14.11
10/22/2019 16:00:00,14.2
10/23/2019 16:00:00,14.09
10/24/2019 16:00:00,14.04
10/25/2019 16:00:00,14.03
10/28/2019 16:00:00,14.13
10/29/2019 16:00:00,13.85
10/30/2019 16:00:00,13.75
10/31/2019 16:00:00,13.93
11/01/2019 16:00,13.99
11/04/2019 16:00,14.13
11/05/2019 16:00,14.25
11/06/2019 16:00,14.25
11/07/2019 16:00,14.35
11/08/2019 16:00,14.5
11/11/2019 16:00,14.45
11/12/2019 16:00,14.38
11/13/2019 16:00:00,14.32
11/14/2019 16:00:00,14.63
11/15/2019 16:00:00,14.7
11/18/2019 16:00:00,14.59
11/19/2019 16:00:00,14.77
11/20/2019 16:00:00,14.74
11/21/2019 16:00:00,14.52
11/22/2019 16:00:00,14.81
11/25/2019 16:00:00,15
11/26/2019 16:00:00,15.15
11/27/2019 16:00:00,15.11
11/28/2019 16:00:00,15.3
11/29/2019 16:00:00,15.25
12/02/2019 16:00,15.2
12/03/2019 16:00,14.84
12/04/2019 16:00,14.76
12/05/2019 16:00,14.94
12/06/2019 16:00,15.01
12/09/2019 16:00,15.17
12/10/2019 16:00,15.16
12/11/2019 16:00,15.2
12/12/2019 16:00,15.28
12/13/2019 16:00:00,15.37
12/16/2019 16:00:00,15.48
12/17/2019 16:00:00,15.48
12/18/2019 16:00:00,15.57
12/19/2019 16:00:00,15.73
12/20/2019 16:00:00,15.7
12/23/2019 16:00:00,15.68
12/24/2019 14:10:00,15.74
12/27/2019 16:00:00,15.75
12/30/2019 16:00:00,15.67
12/31/2019 14:10:00,15.57
1/02/2020 16:00,15.48
1/03/2020 16:00,15.31
1/06/2020 16:00,15.08
1/07/2020 16:00,15.19
1/08/2020 16:00,15.01
1/09/2020 16:00,15.16
1/10/2020 16:00,15.19
1/13/2020 16:00:00,15.21
1/14/2020 16:00:00,15.36
1/15/2020 16:00:00,15.45
1/16/2020 16:00:00,15.43
1/17/2020 16:00:00,15.56
1/20/2020 16:00:00,15.68
1/21/2020 16:00:00,15.66
1/22/2020 16:00:00,15.74
1/23/2020 16:00:00,15.56
1/24/2020 16:00:00,15.55
1/28/2020 16:00:00,15.9
1/29/2020 16:00:00,16.06
1/30/2020 16:00:00,15.96
1/31/2020 16:00:00,15.89
2/03/2020 16:00,15.83
2/04/2020 16:00,15.89
2/05/2020 16:00,16.01
2/06/2020 16:00,16.28
2/07/2020 16:00,16.18
2/10/2020 16:00,16.05
2/11/2020 16:00,16.1
2/12/2020 16:00,15.79
2/13/2020 16:00:00,15.26
2/14/2020 16:00:00,15.05
2/17/2020 16:00:00,15.22
2/18/2020 16:00:00,15.33
2/19/2020 16:00:00,15.4
2/20/2020 16:00:00,15.35
2/21/2020 16:00:00,15.36
2/24/2020 16:00:00,15.31
2/25/2020 16:00:00,15.08
2/26/2020 16:00:00,14.72
2/27/2020 16:00:00,14.73
2/28/2020 16:00:00,14.42
3/02/2020 16:00,14.35
3/03/2020 16:00,14.48
3/04/2020 16:00,14.42
3/05/2020 16:00,14.54
3/06/2020 16:00,14.07
3/09/2020 16:00,13.26
3/10/2020 16:00,13.53
3/11/2020 16:00,12.59
3/12/2020 16:00,11.44
3/13/2020 16:00:00,11.1
3/16/2020 16:00:00,10.2
3/17/2020 16:00:00,10.14
3/18/2020 16:00:00,10.34
3/19/2020 16:00:00,11.2
3/20/2020 16:00:00,11.9
3/23/2020 16:00:00,11.77
3/24/2020 16:00:00,11.9
3/25/2020 16:00:00,12.44
3/26/2020 16:00:00,12.64
3/27/2020 16:00:00,12.54
3/30/2020 16:00:00,13
3/31/2020 16:00:00,13.04
4/01/2020 16:00,13.51
4/02/2020 16:00,13.35
4/03/2020 16:00,13.31
4/06/2020 16:00,13.34
4/07/2020 16:00,13.33
4/08/2020 16:00,13.22
4/09/2020 16:00,13.69
4/14/2020 16:00:00,14
4/15/2020 16:00:00,13.77
4/16/2020 16:00:00,13.66
4/17/2020 16:00:00,13.67
4/20/2020 16:00:00,13.6
4/21/2020 16:00:00,13.33
4/22/2020 16:00:00,13.07
4/23/2020 16:00:00,13.05
4/24/2020 16:00:00,12.93
4/27/2020 16:00:00,13.23
4/28/2020 16:00:00,13.5
4/29/2020 16:00:00,13.98
4/30/2020 16:00:00,14.07
5/01/2020 16:00,13.53
5/04/2020 16:00,13.42
5/05/2020 16:00,13.47
5/06/2020 16:00,13.43
5/07/2020 16:00,13.22
5/08/2020 16:00,13.38
5/11/2020 16:00,13.72
5/12/2020 16:00,13.89
5/13/2020 16:00:00,14.39
5/14/2020 16:00:00,14.14
5/15/2020 16:00:00,14.15
5/18/2020 16:00:00,14.47
5/19/2020 16:00:00,14.63
5/20/2020 16:00:00,14.45
5/21/2020 16:00:00,14.4
5/22/2020 16:00:00,14.53
5/25/2020 16:00:00,14.76
5/26/2020 16:00:00,15
5/27/2020 16:00:00,14.69
5/28/2020 16:00:00,15.05
5/29/2020 16:00:00,14.88
6/01/2020 16:00,14.99
6/02/2020 16:00,15.09
6/03/2020 16:00,15.03
6/04/2020 16:00,15.11
6/05/2020 16:00,15.17
6/09/2020 16:00,14.76
6/10/2020 16:00,14.42
6/11/2020 16:00,13.74
6/12/2020 16:00,13.79
6/15/2020 16:00:00,13.83
6/16/2020 16:00:00,14.76
6/17/2020 16:00:00,14.93
6/18/2020 16:00:00,14.84
6/19/2020 16:00:00,14.7
6/22/2020 16:00:00,14.9
6/23/2020 16:00:00,14.7
6/24/2020 16:00:00,14.63
6/25/2020 16:00:00,14.46
6/26/2020 16:00:00,14.55
6/29/2020 16:00:00,14.11
6/30/2020 16:00:00,14.48
7/01/2020 16:00,14.62
7/02/2020 16:00,14.96
7/03/2020 16:00,15.25
7/06/2020 16:00,15.18
7/07/2020 16:00,15.29
7/08/2020 16:00,15.08
7/09/2020 16:00,14.83
7/10/2020 16:00,14.87
7/13/2020 16:00:00,15.14
7/14/2020 16:00:00,15.03
7/15/2020 16:00:00,15.25
7/16/2020 16:00:00,15.19
7/17/2020 16:00:00,15.37
7/20/2020 16:00:00,15.36
7/21/2020 16:00:00,15.4
7/22/2020 16:00:00,15.25
7/23/2020 16:00:00,15.21
7/24/2020 16:00:00,15.12
7/27/2020 16:00:00,15.19
7/28/2020 16:00:00,15.06
7/29/2020 16:00:00,14.83
7/30/2020 16:00:00,14.81
7/31/2020 16:00:00,14.41
8/03/2020 16:00,14.49
8/04/2020 16:00,14.85
8/05/2020 16:00,14.87
8/06/2020 16:00,14.98
8/07/2020 16:00,14.91
8/10/2020 16:00,15.26
8/11/2020 16:00,15.58
8/12/2020 16:00,15.5
8/13/2020 16:00:00,15.45
8/14/2020 16:00:00,15.73
8/17/2020 16:00:00,15.68
8/18/2020 16:00:00,15.72
8/19/2020 16:00:00,15.76
8/20/2020 16:00:00,15.76
8/21/2020 16:00:00,15.47
8/24/2020 16:00:00,15.4
8/25/2020 16:00:00,15.14
8/26/2020 16:00:00,15.1
8/27/2020 16:00:00,15.22
8/28/2020 16:00:00,15.19
8/31/2020 16:00:00,15.15
9/01/2020 16:00,14.85
9/02/2020 16:00,14.99
9/03/2020 16:00,15.4
9/04/2020 16:00,15.17
9/07/2020 16:00,15.05
9/08/2020 16:00,15.17
9/09/2020 16:00,14.93
9/10/2020 16:00,15.14
9/11/2020 16:00,15.28
9/14/2020 16:00:00,15.15
